SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,July-9-1992,Single Family Residential,105 Biscayne Ter,Reserve,PA,15212,178300,2,1.5,Reserve,,8712,1955,1,,,Pending,,,https://www.redfin.com/PA/Pittsburgh/105-Biscayne-Ter-15212/home/74464392,West Penn MLS,1588063,N,Y,40.4880087,-79.9953417
PAST SALE,,Single Family Residential,1188 Brook View Ct,Mccandless,PA,15237,1088665,5,5.5,McCandless,,,2022,1,,40,Pending,,,https://www.redfin.com/PA/Pittsburgh/1188-Brook-View-Ct-15237/home/178312478,West Penn MLS,1565926,N,Y,40.5590436,-80.0627345
MLS Listing,,Single Family Residential,152 Spruce Valley Dr,Ross Twp,PA,15229,314900,3,2.5,Ross Twp,1872,6272,1986,1,168,6,Active,December-22-2022 05:30 PM,December-22-2022 07:30 PM,https://www.redfin.com/PA/Pittsburgh/152-Spruce-Valley-Dr-15229/home/74567127,West Penn MLS,1587955,N,Y,40.512332,-80.04011
MLS Listing,,Single Family Residential,112 Black Hills Rd,Plum Boro,PA,15239,185000,3,2,Plum Boro,1220,9997,1961,1,152,,Active,,,https://www.redfin.com/PA/Pittsburgh/112-Black-Hills-Rd-15239/home/74472316,West Penn MLS,1588222,N,Y,40.4761278,-79.7059591
MLS Listing,,Single Family Residential,1915 Shamokin,South Side,PA,15203,50000,0,,South Side,,,,1,,,Active,,,https://www.redfin.com/PA/Pittsburgh/1915-Shamokin-St-15203/home/163405437,West Penn MLS,1588197,N,Y,40.422448,-79.9803814
MLS Listing,,Single Family Residential,1939 Altmar St,Brookline,PA,15226,160000,2,1,Brookline,1044,5279,1946,1,153,,Active,,,https://www.redfin.com/PA/Pittsburgh/1939-Altmar-St-15226/home/74765942,West Penn MLS,1588214,N,Y,40.3932959,-80.0001035
MLS Listing,,Single Family Residential,1221 Prospect Ave,Castle Shannon,PA,15234,139900,2,2,Castle Shannon,884,7971,1956,1,158,,Active,,,https://www.redfin.com/PA/Pittsburgh/1221-Prospect-Ave-15234/home/74557838,West Penn MLS,1588134,N,Y,40.3629396,-80.0243891
MLS Listing,,Single Family Residential,331 Belonda St,Mt Washington,PA,15211,200000,3,2,Mt Washington,1130,2178,1915,1,177,,Active,,,https://www.redfin.com/PA/Pittsburgh/331-Belonda-St-15211/home/74653997,West Penn MLS,1588210,N,Y,40.4291471,-80.0120288
MLS Listing,,Single Family Residential,1325 Methyl St,Beechview,PA,15216,199900,3,2,Beechview,1903,2613,1925,1,105,,Active,December-22-2022 05:00 PM,December-22-2022 07:00 PM,https://www.redfin.com/PA/Pittsburgh/1325-Methyl-St-15216/home/74512622,West Penn MLS,1588151,N,Y,40.4151972,-80.0256993
MLS Listing,,Single Family Residential,1602 Memory Lane - Lot 8,Franklin Park,PA,15237,1778000,5,6,Franklin Park,,40946,2022,1,,,Active,,,https://www.redfin.com/PA/Pittsburgh/1602-Memory-Lane-Lot-8-15237/home/183427980,West Penn MLS,1588182,N,Y,40.5610745,-80.0394123
MLS Listing,,Single Family Residential,1504 Florida Ave,Wilkinsburg,PA,15221,19900,2,1,Wilkinsburg,936,2491,1928,1,21,,Active,,,https://www.redfin.com/PA/Pittsburgh/1504-Florida-Ave-15221/home/74546477,West Penn MLS,1588125,N,Y,40.4383993,-79.8683391
MLS Listing,,Single Family Residential,2516 Noblestown Rd,Banksville/westwood,PA,15205,229900,3,2,Banksville/Westwood,1040,7862,1957,1,221,,Active,,,https://www.redfin.com/PA/Pittsburgh/2516-Noblestown-Rd-15205/home/74620710,West Penn MLS,1588136,N,Y,40.4265706,-80.0604992
MLS Listing,,Single Family Residential,1406 Orator St,Chartiers City,PA,15204,199000,2,1,Chartiers City,1568,1999,1920,1,127,,Active,,,https://www.redfin.com/PA/Pittsburgh/1406-Orator-St-15204/home/164177995,West Penn MLS,1588174,N,Y,40.4577021,-80.0708339
PAST SALE,February-6-1985,Single Family Residential,4236 Greenridge Rd,Castle Shannon,PA,15234,129900,2,1.5,Castle Shannon,1305,15289,1952,1,100,,Pending,,,https://www.redfin.com/PA/Pittsburgh/4236-Greenridge-Rd-15234/home/74559759,West Penn MLS,1585346,N,Y,40.3563248,-80.0354814
PAST SALE,,Single Family Residential,101 W Woodford Ave,Carrick,PA,15210,99500,3,1,Carrick,1520,5052,1928,1,65,,Pending,,,https://www.redfin.com/PA/Pittsburgh/101-W-Woodford-Ave-15210/home/73584278,West Penn MLS,1585823,N,Y,40.3931453,-79.9879582
MLS Listing,,Single Family Residential,1611 Alverado Ave,Beechview,PA,15216,190000,3,1.5,Beechview,1500,3001,1965,1,127,,Active,,,https://www.redfin.com/PA/Pittsburgh/1611-Alverado-Ave-15216/home/74597622,West Penn MLS,1588159,N,Y,40.4099557,-80.0281122
MLS Listing,,Single Family Residential,1467 Mill St,Wilkinsburg,PA,15221,39900,3,1,Wilkinsburg,1232,3750,1959,1,32,,Active,,,https://www.redfin.com/PA/Pittsburgh/1467-Mill-St-15221/home/74544687,West Penn MLS,1588144,N,Y,40.4474437,-79.8789142
MLS Listing,,Single Family Residential,1463 Mill St,Wilkinsburg,PA,15221,39900,3,1,Wilkinsburg,1232,3750,1959,1,32,,Active,,,https://www.redfin.com/PA/Pittsburgh/1463-Mill-St-15221/home/74544686,West Penn MLS,1588145,N,Y,40.4473466,-79.8788996
